sample_id,source_sample_id,image_path,expected_visible_expression,expected_final_answer,expected_intermediate_lines,expected_step_features,expected_symbol,usable_for_transcription,usable_for_end_to_end_diagnosis,license_reference,sha256
hasy_000,hasy-data/v2-00345.png,images/hasy_000.png,,,,,0,true,false,ODC Open Database License v1.0 (ODbL),7296e5d62e1884693d5f599cf00ef21f000ab9363d2efb2a02e916ce3e103891
hasy_001,hasy-data/v2-00346.png,images/hasy_001.png,,,,,0,true,false,ODC Open Database License v1.0 (ODbL),14b1c94bb1e26e4404d6063c82627365ee2a38ff36cfd9048246fc050b87739c
hasy_002,hasy-data/v2-00347.png,images/hasy_002.png,,,,,0,true,false,ODC Open Database License v1.0 (ODbL),41ae20c0e40ddbff21a9ca2ee71dd17d2e59215952722a4ca6c75ef47df9f774
hasy_003,hasy-data/v2-00348.png,images/hasy_003.png,,,,,0,true,false,ODC Open Database License v1.0 (ODbL),4493e301e8f02eaa830713831a027b36c52acee9d5374005f2b6fd4427349de0
hasy_004,hasy-data/v2-00358.png,images/hasy_004.png,,,,,1,true,false,ODC Open Database License v1.0 (ODbL),30b0a165107e10797a6935f0e384c3853291163202a11aa35cc88bb4e0024a59
hasy_005,hasy-data/v2-00359.png,images/hasy_005.png,,,,,1,true,false,ODC Open Database License v1.0 (ODbL),289020d919eb692dd4598e6f37d9ce7d213e1ba0efccc0cc42690a1b644e1004
hasy_006,hasy-data/v2-00360.png,images/hasy_006.png,,,,,1,true,false,ODC Open Database License v1.0 (ODbL),688e4b58c7ff2e93029dddc7b88906ca341693ba58d86f0c89254c5646a79558
hasy_007,hasy-data/v2-00361.png,images/hasy_007.png,,,,,1,true,false,ODC Open Database License v1.0 (ODbL),0bb396b6e7027297c0565b9dea79d51e4a7b9fa677cf2208f60b63b7038d8604
hasy_008,hasy-data/v2-00370.png,images/hasy_008.png,,,,,2,true,false,ODC Open Database License v1.0 (ODbL),2faf9f52a97879ecccd0e3f41a139f2efa92b726e507d100fbb33274b41f681c
hasy_009,hasy-data/v2-00371.png,images/hasy_009.png,,,,,2,true,false,ODC Open Database License v1.0 (ODbL),77fc80bf92d60a282a219a21e367c93cef4fbf62dcefb9142e25dd69b664c9e0
hasy_010,hasy-data/v2-00372.png,images/hasy_010.png,,,,,2,true,false,ODC Open Database License v1.0 (ODbL),71e2d7a2941425afa298414cda087a8d3ecaf6884c33f8fb8728d7b920ba8999
hasy_011,hasy-data/v2-00373.png,images/hasy_011.png,,,,,2,true,false,ODC Open Database License v1.0 (ODbL),3aa97e5bcb86fd02f012c8c4c1ede1b025ee564ad2b05ba481fee84e0bfc6d47
hasy_012,hasy-data/v2-00382.png,images/hasy_012.png,,,,,3,true,false,ODC Open Database License v1.0 (ODbL),8df40c4948c545728bd442004ab2ba7dbb067e5fb6f7fb21c7e25ca848f702bc
hasy_013,hasy-data/v2-00383.png,images/hasy_013.png,,,,,3,true,false,ODC Open Database License v1.0 (ODbL),6cfacf8d440925b9348fe1ce6ea8c0fdd0f21df1d25f524a0683349ee5746fb0
hasy_014,hasy-data/v2-00384.png,images/hasy_014.png,,,,,3,true,false,ODC Open Database License v1.0 (ODbL),e79e32c98cdbb2f280636033da19acca765363fe058f7bf7d8bdf243a4f09727
