sheet_id,volunteer_id,assigned_procedure,problem_id,ground_truth_answer,ocr_selected_answer,ocr_confidence,held_out,engine_top_hypothesis,engine_top_posterior,notes
S01,V01,add_across,p1,2/5,,,false,,,
S01,V01,add_across,p2,3/7,,,false,,,
S01,V01,add_across,p3,4/7,,,false,,,
S01,V01,add_across,p4,3/7,,,false,,,
S01,V01,add_across,p5,3/8,,,false,,,
S01,V01,add_across,p6,2/7,,,false,,,
S01,V01,add_across,p7,2/5,,,false,,,
S01,V01,add_across,heldout,3/10,,,true,,,
S02,V02,keep_first_denominator,p1,1/1,,,false,,,
S02,V02,keep_first_denominator,p2,1/1,,,false,,,
S02,V02,keep_first_denominator,p3,4/5,,,false,,,
S02,V02,keep_first_denominator,p4,3/4,,,false,,,
S02,V02,keep_first_denominator,p5,3/5,,,false,,,
S02,V02,keep_first_denominator,p6,1/2,,,false,,,
S02,V02,keep_first_denominator,p7,2/3,,,false,,,
S02,V02,keep_first_denominator,heldout,3/7,,,true,,,
S03,V03,denominator_only_common,p1,1/3,,,false,,,
S03,V03,denominator_only_common,p2,1/4,,,false,,,
S03,V03,denominator_only_common,p3,2/5,,,false,,,
S03,V03,denominator_only_common,p4,1/4,,,false,,,
S03,V03,denominator_only_common,p5,1/5,,,false,,,
S03,V03,denominator_only_common,p6,1/6,,,false,,,
S03,V03,denominator_only_common,p7,1/3,,,false,,,
S03,V03,denominator_only_common,heldout,1/7,,,true,,,
S04,V04,multiply_all,p1,1/6,,,false,,,
S04,V04,multiply_all,p2,1/6,,,false,,,
S04,V04,multiply_all,p3,3/10,,,false,,,
S04,V04,multiply_all,p4,1/6,,,false,,,
S04,V04,multiply_all,p5,2/15,,,false,,,
S04,V04,multiply_all,p6,1/16,,,false,,,
S04,V04,multiply_all,p7,1/8,,,false,,,
S04,V04,multiply_all,heldout,2/21,,,true,,,
S05,V05,scale_first_only,p1,2/3,,,false,,,
S05,V05,scale_first_only,p2,3/4,,,false,,,
S05,V05,scale_first_only,p3,7/10,,,false,,,
